,year,round,circuit_name,circuit_country,driver_id,lap_number,estimated_horsepower,car_weight,track_temperature,driving_aggression,fuel_load_percent,lap_time_sec,tire_compound_hard,tire_compound_medium,tire_compound_soft
0,2010,1,0,0,0,1,0.07228915662650602,0.7373737373737373,0.5,0.466180927491861,0.5833226455792582,123.366,False,True,False
1,2010,1,0,0,1,1,0.040160642570281124,0.8282828282828283,0.5,0.908826811884396,0.738911949011416,125.394,False,False,True
2,2010,1,0,0,2,1,0.9759036144578314,0.8787878787878788,0.9583333333333334,0.25248609018407353,0.49073626900307293,126.758,True,False,False
3,2010,1,0,0,3,1,0.24899598393574296,0.5656565656565656,0.7083333333333334,0.6956369312492673,0.3652814841719222,128.063,False,True,False
4,2010,1,0,0,4,1,0.9839357429718876,0.2828282828282828,0.375,0.7952283630624136,0.038374789102978875,128.558,True,False,False
5,2010,1,0,0,5,1,0.9759036144578314,0.8787878787878788,0.875,0.32116462432497184,0.24436512959439446,129.527,True,False,False
6,2010,1,0,0,6,1,0.5060240963855421,0.9494949494949495,0.8333333333333334,0.2872621283920226,0.4213094010754676,129.956,False,True,False
7,2010,1,0,0,7,1,0.7309236947791165,0.8181818181818182,0.6666666666666666,0.7423716332083514,0.307084340658388,130.721,False,True,False
8,2010,1,0,0,8,1,0.1606425702811245,0.3838383838383838,0.375,0.8570883143156185,0.19310803215518957,131.473,True,False,False
9,2010,1,0,0,9,1,0.21285140562248997,0.29292929292929293,0.125,0.2541358324495498,0.6197850505964864,132.361,False,False,True
10,2010,1,0,0,10,1,0.6867469879518072,0.23232323232323232,0.0,0.2813363708536871,0.7207265976849879,132.963,False,True,False
11,2010,1,0,0,11,1,0.8755020080321285,0.35353535353535354,1.0,0.4461104645003618,0.0826171054733105,133.768,False,False,True
12,2010,1,0,0,12,1,0.7188755020080321,0.6363636363636364,0.5,0.2704519617164969,0.0705129435778113,134.245,True,False,False
13,2010,1,0,0,13,1,0.2289156626506024,0.12121212121212122,0.20833333333333334,0.9841713003549883,0.533734032722978,134.907,False,True,False
14,2010,1,0,0,14,1,0.5381526104417671,0.21212121212121213,0.5,0.7801251313200396,0.4001550089149803,135.479,False,True,False
15,2010,1,0,0,15,1,0.9598393574297188,0.8585858585858586,0.8333333333333334,0.8454090093788409,0.34687953338154964,137.386,False,False,True
16,2010,1,0,0,16,1,0.9437751004016064,0.5959595959595959,0.9166666666666666,0.7334949735327448,0.9356568140430368,138.065,False,True,False
